net.sta,lon,lat,alt
NR.NE008,6.518,52.547,0.0
RO.BANR,21.137,45.383,159.0
RO.SIRR,21.663,46.265,544.0
SI.ABSI,11.32,46.728,1801.0
SI.BOSI,11.318,46.495,242.0
SI.KOSI,11.378,46.463,1604.0
SI.MOSI,10.55,46.616,1957.0
SI.RISI,12.079,46.948,1785.0
SI.ROSI,11.412,46.928,1917.0
SX.WIMM,11.505,51.521,80.0
TH.RUH,10.4,50.883,551.0
ZV.BLA,14.899,49.643,446.0
ZV.ROC,13.771,50.251,440.0
BW.WETR,12.876,49.145,607.0
CH.EMBD,7.832,46.217,1180.0
CH.FIESA,8.111,46.435,2340.5
CH.SIMPL,8.02,46.24,1930.0
CH.VANNI,7.597,46.21,1520.0
CR.RIY,14.483,45.325,200.0
CZ.CHVC,16.055,50.588,580.0
CZ.GOPC,14.787,49.914,545.0
CZ.OSTC,16.216,50.556,556.0
GR.GOR1,11.308,52.99,21.2
GU.CIRO,7.568,45.602,2462.0
GU.SATI,7.868,45.875,2935.0
IV.STAL,12.71,46.26,625.0
IV.VARE,8.77,45.868,1219.0
NR.NE009,5.811,53.35,0.0
NR.NE010,6.649,53.451,0.0
NR.NE011,5.814,52.1,15.0
NR.NE012,6.301,53.152,0.0
NR.NE017,7.12,53.213,0.0
PL.KSP,16.293,50.843,353.0
PL.KWP,22.708,49.631,448.0
RN.BAHL,7.822,51.737,92.0
RN.HMES,7.726,51.658,56.0
TH.MLFH,12.081,50.79,220.0
TH.MODW,12.468,50.943,242.0
TH.POSS,10.867,51.333,422.0
TH.VITZ,10.092,50.888,401.0
ZW.J0CB,10.591,54.261,37.0
ZW.J0DB,10.715,53.208,23.0
ZW.J12B,9.354,54.442,20.0
ZW.J13B,9.399,54.273,0.0
ZW.J15B,9.56,53.901,8.0
ZW.J16B,9.493,53.733,5.0
ZW.J17B,9.399,53.556,35.0
ZW.J18B,9.337,53.392,110.0
ZW.J19B,9.248,53.204,60.0
ZW.J20B,9.291,53.054,21.0
ZW.J21B,9.138,52.872,10.0
ZW.J22B,9.072,52.702,71.0
ZW.J23B,9.03,52.536,50.0
ZW.J25B,9.402,53.667,5.0
BW.KW3,12.658,48.102,501.0
CH.LAUCH,7.772,46.416,2160.0
CH.PANIX,9.112,46.826,1433.0
FR.CHMF,6.652,47.248,868.0
GR.CLNZ,10.954,52.942,32.0
GR.IGAD,8.69,53.258,43.0
GR.ZARR,10.918,53.554,39.0
IV.CTI,11.65,46.048,1180.0
NL.VKB,5.785,50.867,90.0
PL.BEL,20.789,51.836,173.0
PL.GKP,17.237,53.27,115.0
RN.BAVN,7.122,51.738,65.0
TH.ATBG,12.438,50.988,190.0
TH.HWTS,11.472,50.592,552.0
TH.LAWA,10.787,51.569,287.0
TH.TIEF,10.169,50.841,252.0
ZW.J11S,9.311,54.602,12.0
ZW.J14S,9.465,54.113,39.0
CH.BERGE,8.178,47.872,963.0
CH.DAGMA,8.012,47.231,560.0
CH.EMING,8.847,47.895,619.0
CH.EMMET,8.014,47.438,740.0
